Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
26,Q216,J.H.S. 216 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,4/17/2017,7/17/2018,,6750856,7061221.00,6716597.00,"DSF0000798301, DSF0000791100"
26,Q216,J.H.S. 216 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,4/17/2017,7/17/2018,,420054,1069360.00,1058955.00,"DSF0000798301, DSF0000791100"
26,Q216,J.H.S. 216 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,10/29/2018,3/19/2019,3/21/2019,257999,136796.00,136796.00,"DSF0000880910, DSF0000880911, DSF0000880912, DSF0000903778"
26,Q216,J.H.S. 216 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,Complete,3/21/2019,8/9/2019,5/17/2019,1032001,653717.00,651217.00,"DSF0000880910, DSF0000880911, DSF0000880912, DSF0000903778"
26,Q216,J.H.S. 216 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Construction,In-Progress,7/22/2019,4/11/2021,,19350000,18435809.00,18258753.00,"DSF0000880910, DSF0000880911, DSF0000880912, DSF0000903778"
26,Q216,J.H.S. 216 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",In-Progress,7/22/2019,4/11/2021,,1204000,487476.00,470830.00,"DSF0000880910, DSF0000880911, DSF0000880912, DSF0000903778"
26,Q216,J.H.S. 216 - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / IDA ELECTRICAL UPGRADE / IDA WASTE SYSTEMS / IDA MECHANICAL PIPING / IDA INTERIOR SPACES,Scope,Complete,6/16/2022,11/1/2022,9/18/2024,294820,23725.00,23725.00,"SCA0000070748, DSF0001113751, DSF0001102844, DSF0001102843, DSF0001113750"
26,Q216,J.H.S. 216 - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / IDA ELECTRICAL UPGRADE / IDA WASTE SYSTEMS / IDA MECHANICAL PIPING / IDA INTERIOR SPACES,Design,In-Progress,9/18/2024,2/24/2025,,1411719,1411719.00,15119.00,"SCA0000070748, DSF0001113751, DSF0001102844, DSF0001102843, DSF0001113750"
26,Q216,J.H.S. 216 - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / IDA ELECTRICAL UPGRADE / IDA WASTE SYSTEMS / IDA MECHANICAL PIPING / IDA INTERIOR SPACES,Construction,PNS,PNS,PNS,PNS,26577922,26577922.00,40.00,"SCA0000070748, DSF0001113751, DSF0001102844, DSF0001102843, DSF0001113750"
26,Q216,J.H.S. 216 - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / IDA ELECTRICAL UPGRADE / IDA WASTE SYSTEMS / IDA MECHANICAL PIPING / IDA INTERIOR SPACES,"CM,F&E",PNS,PNS,PNS,PNS,2194790,2194790.00,2736.00,"SCA0000070748, DSF0001113751, DSF0001102844, DSF0001102843, DSF0001113750"
26,Q216,J.H.S. 216 - QUEENS,SCA CIP,IDA FIRE ALARM SYSTEM REPLACEMENT / EARLY PACKAGE/TEMPORARY EGRESS,Scope,Complete,6/6/2022,11/29/2022,11/29/2022,28900,32864.00,32864.00,"DSF0001024263, DSF0000914322"
26,Q216,J.H.S. 216 - QUEENS,SCA CIP,IDA FIRE ALARM SYSTEM REPLACEMENT / EARLY PACKAGE/TEMPORARY EGRESS,Design,Complete,11/29/2022,3/16/2023,3/21/2023,144499,124371.00,115064.00,"DSF0001024263, DSF0000914322"
26,Q216,J.H.S. 216 - QUEENS,SCA CIP,IDA FIRE ALARM SYSTEM REPLACEMENT / EARLY PACKAGE/TEMPORARY EGRESS,Construction,In-Progress,6/26/2023,6/24/2024,,3251222,3074468.00,2757001.00,"DSF0001024263, DSF0000914322"
26,Q216,J.H.S. 216 - QUEENS,SCA CIP,IDA FIRE ALARM SYSTEM REPLACEMENT / EARLY PACKAGE/TEMPORARY EGRESS,"CM,F&E",In-Progress,6/26/2023,6/24/2024,,202299,339165.00,317084.00,"DSF0001024263, DSF0000914322"
26,Q216,J.H.S. 216 - QUEENS,DOE - RESOA,FY20 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,12/21/2022,DOER,,DOER,283306.00,0.00,DSF0000913432
26,Q216,J.H.S. 216 - QUEENS,DOE - RESOA,FY21 RESO A LOCKER ROOM UPGRADE,Construction,In-Progress,1/6/2022,DOER,,DOER,179311.00,0.00,DSF0001008080
26,Q216,J.H.S. 216 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,1/14/2022,DOES,,DOES,192136.00,0.00,DSF0001008715
26,Q221,P.S. 221 - QUEENS,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Scope,Complete,8/31/2022,3/1/2023,12/9/2022,96409,189852.00,189601.00,"DSF0001024344, DSF0001024345, DSF0001024346, DSF0001024347"
26,Q221,P.S. 221 - QUEENS,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Design,Complete,12/9/2022,6/7/2023,4/21/2023,478159,468655.00,468581.00,"DSF0001024344, DSF0001024345, DSF0001024346, DSF0001024347"
26,Q221,P.S. 221 - QUEENS,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Construction,In-Progress,7/17/2023,10/13/2025,,10422440,9673735.00,8261394.00,"DSF0001024344, DSF0001024345, DSF0001024346, DSF0001024347"
26,Q221,P.S. 221 - QUEENS,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,"CM,F&E",In-Progress,7/17/2023,10/13/2025,,705506,467396.00,358571.00,"DSF0001024344, DSF0001024345, DSF0001024346, DSF0001024347"
26,Q221,P.S. 221 - QUEENS,SCA IEH,PO18-ROOM 1005 - ABATE PIPE INSULATION PAINTED IN RED - 10 LF ROOM 3136C - ABATE & REPLACE FLOOR TIL,Construction,In-Progress,7/25/2024,IEH,,IEH,14622.00,163.00,SCA0000073177
26,Q221,P.S. 221 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001113104
26,Q221,P.S. 221 - QUEENS,DOE - RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,1/31/2018,DOER,,DOER,111500.00,0.00,DSF0000822864
26,Q221,P.S. 221 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,Complete,1/3/2020,DOES,4/11/2020,DOES,212303.00,34618.00,DSF0000889632
26,Q221,P.S. 221 - QUEENS,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,4/29/2024,DOES,5/9/2024,DOES,65832.00,14954.00,DSF0001084384
26,Q266,P.S./I.S. 266 - QUEENS,Fast Track Projects,LSP HOT WATER HEATER,Construction,In-Progress,1/15/2020,FTK,,FTK,227166.00,192857.00,DSF0000912581
26,Q266,P.S./I.S. 266 - QUEENS,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,5/3/2024,DIIR,7/12/2024,DIIR,113000.00,,DSF0001086499
26,Q266,P.S./I.S. 266 - QUEENS,DOE - RESOA,FY22 RESO A LIBRARY UPGRADE,Construction,In-Progress,12/26/2023,DOER,,DOER,92704.00,0.00,DSF0001033306
26,Q266,P.S./I.S. 266 - QUEENS,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,5/8/2024,DOES,5/15/2024,DOES,50832.00,,DSF0001084689
26,Q332,P.S. 376 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,55000.00,0.00,DSF0001113133
26,Q361,THE CIVIC SCHOOL OF BAYSIDE HILLS - QUEENS,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001033918
26,Q361,THE CIVIC SCHOOL OF BAYSIDE HILLS - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,60000.00,0.00,DSF0001113139
26,Q361,THE CIVIC SCHOOL OF BAYSIDE HILLS - QUEENS,DOE - RESOA,FY21 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,250000.00,0.00,DSF0001008051
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A IPDVS CAMERA INSTALLATION,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113664
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A IPDVS CAMERA INSTALLATION,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113664
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A IPDVS CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113664
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A IPDVS CAMERA INSTALLATION,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113664
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY19 RESO A ROOM CONVERSION,Scope,Complete,8/13/2019,12/10/2019,3/10/2021,0,15585.00,15585.00,DSF0000912605
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY19 RESO A ROOM CONVERSION,Design,Complete,4/21/2021,9/10/2021,3/9/2022,72738,88757.00,81267.00,DSF0000912605
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY19 RESO A ROOM CONVERSION,Construction,In-Progress,2/12/2024,12/7/2024,,1066826,1019744.00,271826.00,DSF0000912605
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY19 RESO A ROOM CONVERSION,"CM,F&E",In-Progress,2/12/2024,12/7/2024,,72738,97889.00,31053.00,DSF0000912605
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY20 RESO A GREENHOUSE,Scope,Complete,2/5/2020,5/20/2020,7/14/2021,0,128319.00,86884.00,DSF0000913449
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY20 RESO A GREENHOUSE,Design,In-Progress,9/22/2022,3/30/2023,,279059,173641.00,84897.00,DSF0000913449
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY20 RESO A GREENHOUSE,Construction,PNS,PNS,PNS,PNS,4092872,4092872.00,30578.00,DSF0000913449
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY20 RESO A GREENHOUSE,"CM,F&E",PNS,PNS,PNS,PNS,279059,279059.00,83953.00,DSF0000913449
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY20 RESO A PATH OF TRAVEL GREENHOUSE,Scope,In-Progress,3/1/2024,5/31/2024,,0,0.00,0.00,DSF0000913448
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY20 RESO A PATH OF TRAVEL GREENHOUSE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0000913448
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY20 RESO A PATH OF TRAVEL GREENHOUSE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0000913448
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY20 RESO A PATH OF TRAVEL GREENHOUSE,"CM,F&E",PNS,PNS,PNS,PNS,0,1056.00,1056.00,DSF0000913448
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY25 RESO A IPDVS CAMERA INSTALLATION,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113149
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY25 RESO A IPDVS CAMERA INSTALLATION,Design,PNS,PNS,PNS,PNS,24000,24000.00,0.00,DSF0001113149
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY25 RESO A IPDVS CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,352000,352000.00,0.00,DSF0001113149
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY25 RESO A IPDVS CAMERA INSTALLATION,"CM,F&E",PNS,PNS,PNS,PNS,24000,24000.00,0.00,DSF0001113149
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA IEH,PO18-DETERMINE IF SOFT CONCRETE FILLER FLOORING MATERIAL WILL BE DISTRUBED DURING FLOOR REPAIR IN RO,Construction,In-Progress,1/3/2023,IEH,,IEH,2305.00,730.00,SCA0000071657
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,SCA IEH,PO18-77/26Q405/ TEST ABATE IF POSITIVE PIPE INSULATI0N ROOM 111 REMOVE ALL INSULATIN BEHIND METAL CO,Construction,In-Progress,1/11/2024,IEH,,IEH,1038.00,463.00,SCA0000072638
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,100000.00,0.00,DSF0001007965
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,DOE - RESOA,RESO A GYMNASIUM UPGRADE,Construction,In-Progress,6/3/2024,DOER,,DOER,188309.00,0.00,DSF0001112037
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,DOE - RESOA,FY25 RESO A ATHLETIC FIELDS,Construction,PNS,PNS,PNS,PNS,DOER,1350000.00,0.00,DSF0001113148
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,DOE - Skilled Trades,WATER MAIN REPAIRS,Construction,In-Progress,1/11/2021,DOES,,DOES,518370.00,0.00,DSF0001008634
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,In-Progress,3/21/2023,DOES,,DOES,359078.00,0.00,DSF0001034432
26,Q405,BAYSIDE HIGH SCHOOL - QUEENS,DOE - Skilled Trades,EMERGENCY POWER FOR QUICK CONNECT PROGRAM,Construction,In-Progress,9/25/2023,DOES,,DOES,744456.00,0.00,DSF0001083754
26,Q406,BAYSIDE HIGH SCHOOL - QUEENS,DOE - RESOA,RESO A ATHLETIC FIELDS,Construction,In-Progress,8/10/2024,DOER,,DOER,50000.00,0.00,DSF0001112402
26,Q406,BAYSIDE HIGH SCHOOL - QUEENS,DOE - RESOA,FY25 RESO A ATHLETIC FIELDS,Construction,PNS,PNS,PNS,PNS,DOER,2150000.00,0.00,DSF0001113150
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,RPZ VALVES,Scope,Complete,10/23/2018,4/23/2019,9/12/2019,10924,40933.00,40933.00,DSF0000891081
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,RPZ VALVES,Design,Complete,9/6/2022,3/7/2023,3/2/2023,54621,133621.00,133621.00,DSF0000891081
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,RPZ VALVES,Construction,PNS,PNS,PNS,PNS,1228964,1228964.00,25205.00,DSF0000891081
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,RPZ VALVES,"CM,F&E",PNS,PNS,PNS,PNS,76469,76469.00,42429.00,DSF0000891081
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,AUDITORIUM CEILING,Scope,Complete,3/4/2021,7/2/2021,7/22/2021,24450,20729.00,20729.00,DSF0000960657
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,AUDITORIUM CEILING,Design,Complete,7/28/2021,12/30/2021,12/29/2021,122250,79175.00,79175.00,DSF0000960657
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,AUDITORIUM CEILING,Construction,In-Progress,4/10/2023,4/8/2024,,2750625,2678124.00,2036957.00,DSF0000960657
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,AUDITORIUM CEILING,"CM,F&E",In-Progress,4/10/2023,4/8/2024,,171150,137404.00,124492.00,DSF0000960657
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Scope,Complete,8/5/2020,1/8/2021,12/23/2020,116640,154281.00,154281.00,"DSF0000948984, DSF0000960978"
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Design,Complete,12/28/2020,7/30/2021,7/1/2021,583200,671261.00,642321.00,"DSF0000948984, DSF0000960978"
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Construction,In-Progress,1/3/2022,1/2/2024,,13122000,12680549.00,11605584.00,"DSF0000948984, DSF0000960978"
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,"CM,F&E",In-Progress,1/3/2022,1/2/2024,,816480,499318.00,472745.00,"DSF0000948984, DSF0000960978"
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Scope,Complete,3/5/2020,7/6/2020,3/6/2020,15792,9506.00,9506.00,"DSF0000868292, DSF0000960830"
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,Complete,3/6/2020,8/5/2020,5/12/2020,58829,38027.00,38027.00,"DSF0000868292, DSF0000960830"
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Construction,In-Progress,1/11/2021,10/7/2021,,1111005,1111005.00,1022299.00,"DSF0000868292, DSF0000960830"
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,"CM,F&E",In-Progress,1/11/2021,10/7/2021,,125025,103892.00,102898.00,"DSF0000868292, DSF0000960830"
26,Q415,Q993 SPED - QUEENS,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,112000.00,0.00,DSF0001086525
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,DOE - RESOA,FY20 RESO A ELECTRICAL UPGRADE,Construction,In-Progress,3/22/2021,DOER,,DOER,41965.00,0.00,DSF0000913454
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,DOE - RESOA,FY21 RESO A ROOM CONVERSION,Construction,In-Progress,9/8/2023,DOER,,DOER,47114.00,0.00,DSF0001008038
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,61000.00,0.00,DSF0001036043
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,DOE - RESOA,FY24 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,10/31/2023,DOER,,DOER,56000.00,0.00,DSF0001086526
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,6/30/2022,DOES,,DOES,141386.00,0.00,DSF0001034259
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,DOE - Skilled Trades,ACCESSIBILITY,Construction,In-Progress,1/27/2023,DOES,,DOES,2056793.00,0.00,SCA0000070998
26,Q415,BENJAMIN N. CARDOZO HS - QUEENS,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,5/6/2024,DOES,,DOES,630395.00,0.00,DSF0001085758
26,Q430,FRANCIS LEWIS HS - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / NON-IDA REINFORCE SUPPORT ELEMENTS / IDA HEATING PLANT UPGRADE / IDA INTERIOR SPACES,Scope,Complete,9/29/2022,2/17/2023,2/21/2023,114924,181019.00,177742.00,"DSF0001085603, DSF0001083918, DSF0001076010, DSF0001083916"
26,Q430,FRANCIS LEWIS HS - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / NON-IDA REINFORCE SUPPORT ELEMENTS / IDA HEATING PLANT UPGRADE / IDA INTERIOR SPACES,Design,Complete,2/21/2023,7/24/2023,7/26/2023,568324,420902.00,382827.00,"DSF0001085603, DSF0001083918, DSF0001076010, DSF0001083916"
26,Q430,FRANCIS LEWIS HS - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / NON-IDA REINFORCE SUPPORT ELEMENTS / IDA HEATING PLANT UPGRADE / IDA INTERIOR SPACES,Construction,PNS,PNS,PNS,PNS,12243148,12243148.00,39474.00,"DSF0001085603, DSF0001083918, DSF0001076010, DSF0001083916"
26,Q430,FRANCIS LEWIS HS - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / NON-IDA REINFORCE SUPPORT ELEMENTS / IDA HEATING PLANT UPGRADE / IDA INTERIOR SPACES,"CM,F&E",PNS,PNS,PNS,PNS,851642,851642.00,26024.00,"DSF0001085603, DSF0001083918, DSF0001076010, DSF0001083916"
26,Q430,FRANCIS LEWIS HS - QUEENS,SCA CIP,RPZ VALVES / FIRE ALARM,Scope,Complete,3/19/2018,5/24/2019,7/30/2019,30972,46993.00,46993.00,"DSF0000889026, DSF0000904175"
26,Q430,FRANCIS LEWIS HS - QUEENS,SCA CIP,RPZ VALVES / FIRE ALARM,Design,Complete,9/12/2019,3/19/2020,6/10/2020,148068,207365.00,207049.00,"DSF0000889026, DSF0000904175"
26,Q430,FRANCIS LEWIS HS - QUEENS,SCA CIP,RPZ VALVES / FIRE ALARM,Construction,In-Progress,7/6/2022,7/5/2023,,2744023,2666723.00,2512472.00,"DSF0000889026, DSF0000904175"
26,Q430,FRANCIS LEWIS HS - QUEENS,SCA CIP,RPZ VALVES / FIRE ALARM,"CM,F&E",In-Progress,7/6/2022,7/5/2023,,267746,428010.00,421122.00,"DSF0000889026, DSF0000904175"
26,Q430,FRANCIS LEWIS HS - QUEENS,SCA CIP,DEMOLITION,Scope,Complete,3/21/2022,4/4/2022,4/4/2022,11376,28137.00,63.00,DSF0000821799
26,Q430,FRANCIS LEWIS HS - QUEENS,SCA CIP,DEMOLITION,Design,Complete,4/5/2022,8/12/2022,4/12/2023,56882,65759.00,31627.00,DSF0000821799
26,Q430,FRANCIS LEWIS HS - QUEENS,SCA CIP,DEMOLITION,Construction,In-Progress,8/7/2023,11/3/2025,,1279836,1142951.00,1015346.00,DSF0000821799
26,Q430,FRANCIS LEWIS HS - QUEENS,SCA CIP,DEMOLITION,"CM,F&E",In-Progress,8/7/2023,11/3/2025,,79634,34689.00,34689.00,DSF0000821799
26,Q430,FRANCIS LEWIS HS - QUEENS,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,In-Progress,3/13/2020,DIIR,,DIIR,105000.00,0.00,DSF0000889928
26,Q431,FRANCIS LEWIS HS - QUEENS,SCA CIP RESOA,FY20 RESO A ATHLETIC FIELD UPGRADE,Scope,Complete,2/27/2020,6/26/2020,3/21/2022,0,166226.00,163126.00,DSF0000913455
26,Q431,FRANCIS LEWIS HS - QUEENS,SCA CIP RESOA,FY20 RESO A ATHLETIC FIELD UPGRADE,Design,Complete,3/21/2022,8/18/2022,4/12/2023,746531,519555.00,426171.00,DSF0000913455
26,Q431,FRANCIS LEWIS HS - QUEENS,SCA CIP RESOA,FY20 RESO A ATHLETIC FIELD UPGRADE,Construction,In-Progress,8/7/2023,11/3/2025,,10949121,10740110.00,1737329.00,DSF0000913455
26,Q431,FRANCIS LEWIS HS - QUEENS,SCA CIP RESOA,FY20 RESO A ATHLETIC FIELD UPGRADE,"CM,F&E",In-Progress,8/7/2023,11/3/2025,,747121,309063.00,309063.00,DSF0000913455
26,Q435,MARTIN VAN BUREN HS - QUEENS,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,6/30/2022,11/16/2022,6/15/2023,107878,162223.00,162223.00,"DSF0001034985, DSF0001083856"
26,Q435,MARTIN VAN BUREN HS - QUEENS,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,In-Progress,7/11/2023,1/16/2024,,539391,539391.00,173506.00,"DSF0001034985, DSF0001083856"
26,Q435,MARTIN VAN BUREN HS - QUEENS,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,12136318,12136318.00,92105.00,"DSF0001034985, DSF0001083856"
26,Q435,MARTIN VAN BUREN HS - QUEENS,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",PNS,PNS,PNS,PNS,755148,755148.00,133291.00,"DSF0001034985, DSF0001083856"
26,Q435,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,SCA CIP RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Scope,Complete,3/14/2023,6/28/2023,5/23/2023,0,16923.00,16923.00,DSF0001036045
26,Q435,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,SCA CIP RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Design,PNS,PNS,PNS,PNS,28994,12071.00,2740.00,DSF0001036045
26,Q435,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,SCA CIP RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,425249,957712.00,3939.00,DSF0001036045
26,Q435,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,SCA CIP RESOA,FY23 RESO A SCIENCE LAB UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,28994,65299.00,1252.00,DSF0001036045
26,Q435,MARTIN VAN BUREN HS - QUEENS,Fast Track Projects,LSP- DOMESTIC WATER HEATER,Construction,In-Progress,2/21/2023,FTK,,FTK,430475.00,246120.00,DSF0000961032
26,Q435,MARTIN VAN BUREN HS - QUEENS,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,150000.00,0.00,DSF0001008041
26,Q435,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,DOE - RESOA,FY21 RESO A BATHROOM UPGRADES,Construction,Complete,6/10/2021,DOER,12/10/2021,DOER,99832.00,88640.00,DSF0001008037
